countryName,ClimateChange,BetterTransport,SupportWork,AccessWater,BetterHealthcare,GoodEducation,ResponsiveGovernment,PhoneInternet,ReliableEnergy,AffordableFood,ProtectingForests,PoliticalFreedoms,ProtectionCrime,FreedomDiscrimination,Equality,BetterJob,Continent,Population
Saint Vincent and the Grenadines,9,12,13,8,1,2,5,15,15,6,9,3,14,11,7,4,North America,109.462
Samoa,9,15,11,4,2,1,8,15,14,7,10,6,13,12,4,3,Oceiana ,193.228
San Marino,13,4,9,6,6,1,2,11,13,4,13,11,6,13,2,9,EUROPE,31.781
Sao Tome and Principe,12,16,10,4,2,1,5,13,14,8,8,6,15,7,10,2,Africa,190.344
Saudi Arabia,16,10,7,8,2,1,4,13,14,6,15,5,11,9,12,3,Asia,31540.372
Senegal,9,11,15,1,4,2,5,16,14,7,10,8,13,6,12,3,Africa,15129.273
Serbia,13,11,6,10,3,2,4,16,15,8,7,5,14,9,12,1,EUROPE,8850.975
Seychelles,10,16,13,6,3,2,1,14,15,6,5,4,12,9,11,6,Africa,96.471
Sierra Leone,16,6,11,4,2,1,5,14,12,8,15,7,13,10,9,3,Africa,6453.184
Singapore,11,15,12,4,7,1,2,14,16,5,9,3,13,6,10,8,Asia,5603.74
Slovakia,12,13,14,7,2,1,4,16,15,5,8,5,11,9,10,3,EUROPE,5426.258
Slovenia,11,16,13,3,7,1,2,15,14,5,6,8,12,9,10,3,EUROPE,2067.526
Solomon Islands,10,12,13,5,2,1,2,16,15,9,7,6,14,10,8,4,Austrailaia ,583.591
Somalia,16,13,6,4,2,1,7,12,15,10,14,5,9,8,10,3,Africa,10787.104
South Africa,15,11,10,6,4,1,5,13,14,7,12,2,16,8,9,3,Africa,54490.406
South Sudan,11,13,11,3,2,1,4,15,16,7,10,6,14,5,8,9,Africa,12339.812
Spain,10,16,12,5,3,1,2,15,14,4,8,9,13,11,6,7,EUROPE,46121.699
Sri Lanka,10,12,9,4,2,1,3,16,15,5,8,7,14,13,11,6,Asia,20715.01
Sudan,16,9,7,6,2,1,4,15,14,5,13,8,10,11,12,3,Africa,40234.882
Suriname,9,14,15,8,2,1,3,12,12,5,7,4,16,11,10,6,South America,542.975
Swaziland,12,11,8,5,2,1,6,13,14,7,15,4,16,10,9,3,Africa,1286.97
Sweden,3,16,13,1,10,2,7,14,15,9,6,11,8,5,4,12,EUROPE,9779.426
Switzerland,7,16,13,2,10,1,3,14,15,6,4,9,11,5,8,12,EUROPE,8298.663
Syrian Arab Republic,16,15,8,12,6,1,4,11,10,7,14,3,9,5,13,2,Asia,18502.413
Tajikistan,16,8,12,6,3,1,2,15,7,9,14,5,11,10,13,4,Asia,8481.855
Thailand,15,8,12,7,3,1,2,9,14,4,10,6,16,13,11,5,Asia,67959.359
The former Yugoslav Republic of Macedonia,8,13,14,12,3,1,4,16,15,9,5,10,6,7,11,2,Asia,67959.359
Timor-Leste,15,10,13,3,2,1,7,12,16,5,11,6,14,8,8,4,Asia,1184.765
Togo,11,10,9,4,2,1,5,8,16,6,13,7,14,15,12,3,Africa,7304.578
Tonga,9,15,9,3,4,1,4,11,16,8,7,6,11,11,11,2,Oceiana ,106.17
Trinidad and Tobago,10,14,12,7,1,4,3,15,16,5,8,2,13,9,11,6,North America,1360.088
Tunisia,16,13,10,11,3,1,5,7,15,6,14,4,12,8,9,2,Africa,11253.554
Turkey,12,15,13,11,3,1,2,14,16,10,4,6,9,5,8,7,Asia,78665.83
Turkmenistan,12,16,12,6,2,1,3,10,15,14,6,5,8,8,10,4,Asia,5373.502
Tuvalu,9,11,6,7,3,1,5,11,16,11,15,7,14,4,9,2,Oceiana ,9.916
